"AssessmentUnitID","AssessmentUnitName","Basin","ES","ES_SD","ES_N"
6,"Arkona Basin","Arkona Basin",3.47147610832743,0.336526334659338,241
7,"Bornholm Basin","Bornholm Basin",7.72081071589173,1.00042601151934,2125
8,"Gulf of Gdansk","Baltic Proper",11.4813327161862,0.818176752752875,2225
9,"Eastern Gotland Basin","Baltic Proper",11.4813327161862,0.818176752752875,2225
10,"Western Gotland Basin","Baltic Proper",11.4813327161862,0.818176752752875,2225
12,"Northern Baltic Proper","Baltic Proper",11.4813327161862,0.818176752752875,2225
13,"Gulf of Finland","Baltic Proper",11.4813327161862,0.818176752752875,2225
14,"Åland Sea","Bothnian Sea",4.11782002494167,0.253425201617873,476
15,"Bothnian Sea","Bothnian Sea",4.11782002494167,0.253425201617873,476
17,"Bothnian Bay","Bothnian Bay",2.03333071212003,0.502050780742024,173
