"AssessmentUnitID","AssessmentUnitName","Basin","Year","ES","ES_SD","ES_N"
6,"Arkona Basin","Arkona Basin","2000",3.44534762760382,0.689069525520765,1
6,"Arkona Basin","Arkona Basin","2001",3.42594926437042,0.685189852874083,3
6,"Arkona Basin","Arkona Basin","2002",3.33922880328243,0.667845760656487,3
6,"Arkona Basin","Arkona Basin","2003",3.05328645729382,0.610657291458765,15
6,"Arkona Basin","Arkona Basin","2004",3.2960812900096,0.659216258001921,8
6,"Arkona Basin","Arkona Basin","2005",2.87091954329894,0.574183908659788,17
6,"Arkona Basin","Arkona Basin","2006",2.82170448085469,0.564340896170937,19
6,"Arkona Basin","Arkona Basin","2007",3.20461405419411,0.640922810838823,7
6,"Arkona Basin","Arkona Basin","2008",3.53267845534079,0.706535691068158,6
6,"Arkona Basin","Arkona Basin","2009",3.47871149750965,0.69574229950193,7
6,"Arkona Basin","Arkona Basin","2010",3.58145883748803,0.716291767497606,2
6,"Arkona Basin","Arkona Basin","2011",3.95516650678101,0.791033301356202,17
6,"Arkona Basin","Arkona Basin","2012",4.07839613789581,0.815679227579163,10
6,"Arkona Basin","Arkona Basin","2013",3.83829519161987,0.767659038323975,5
6,"Arkona Basin","Arkona Basin","2014",3.7761115099714,0.755222301994281,29
6,"Arkona Basin","Arkona Basin","2015",3.82335845014395,0.76467169002879,23
6,"Arkona Basin","Arkona Basin","2016",3.57195213962485,0.714390427924971,37
6,"Arkona Basin","Arkona Basin","2017",3.25761240345856,0.651522480691712,23
6,"Arkona Basin","Arkona Basin","2018",3.4026693939141,0.68053387878282,4
6,"Arkona Basin","Arkona Basin","2019",3.67598012189281,0.735196024378562,5
7,"Bornholm Basin","Bornholm Basin","2000",7.88327072039543,1.57665414407909,11
7,"Bornholm Basin","Bornholm Basin","2001",7.63886964448055,1.52777392889611,9
7,"Bornholm Basin","Bornholm Basin","2002",7.43737353741014,1.48747470748203,10
7,"Bornholm Basin","Bornholm Basin","2003",5.23338955385722,1.04667791077144,51
