id,day_start,month_start,year_start,day_end,month_end,year_end,duration,intensity
1,NA,12,1880,NA,NA,NA,0,0.9
2,NA,1,1882,NA,NA,NA,0,9.1
3,NA,2,1882,NA,NA,NA,0,6.3
4,NA,2,1883,NA,3,1883,0,7.6
5,NA,10,1884,NA,11,1884,0,14.7
6,NA,12,1884,NA,NA,NA,0,11.4
7,NA,12,1886,NA,NA,NA,0,34.9
8,NA,1,1887,NA,2,1887,0,16
9,NA,11,1888,NA,NA,NA,0,9.3
10,NA,12,1888,NA,NA,NA,0,2.4
11,NA,2,1889,NA,NA,NA,0,13.4
12,NA,1,1890,NA,NA,NA,0,15.4
13,NA,10,1890,NA,NA,NA,0,15.3
14,NA,1,1892,NA,NA,NA,0,1.6
15,NA,2,1894,NA,NA,NA,0,9.8
16,20,11,1897,4,12,1897,15,33.5
17,20,1,1898,7,2,1898,19,25
18,7,12,1898,22,12,1898,16,27.9
19,26,12,1898,1,1,1899,7,10.75
20,18,12,1900,28,12,1900,11,25.5
21,24,1,1901,31,1,1901,8,18.47
22,18,11,1901,23,11,1901,6,8.11
23,1,12,1901,13,12,1901,13,9.12
24,7,1,1902,22,1,1902,16,27.7
25,26,12,1902,31,12,1902,6,20.31
26,24,11,1903,28,11,1903,5,7.65
27,26,11,1906,13,12,1906,18,30.3
28,18,1,1908,23,1,1908,6,14.46
29,27,1,1908,3,2,1908,8,17.29
30,6,2,1908,10,2,1908,5,8.79
31,25,11,1908,2,12,1908,8,16.22
32,26,12,1910,3,1,1911,9,17.62
33,16,12,1912,28,12,1912,13,13.63
34,18,11,1913,16,12,1913,29,38
35,1,2,1914,5,2,1914,5,8.82
36,28,9,1914,8,10,1914,11,17.99
37,2,12,1914,15,12,1914,14,20.33
38,14,11,1920,25,11,1920,12,19.51
39,17,1,1921,31,1,1921,15,28.7
40,16,12,1921,6,1,1922,22,51.2
41,25,11,1922,1,12,1922,7,11.57
42,27,1,1923,31,1,1923,5,9.3
43,3,1,1925,13,1,1925,11,23.49
44,6,2,1925,12,2,1925,7,10.62
45,3,9,1925,9,9,1925,7,19.71
46,7,3,1926,16,3,1926,10,24.28
47,24,8,1926,30,8,1926,7,12.6
48,21,4,1927,27,4,1927,7,15.14
49,10,11,1930,20,11,1930,11,22.9
50,17,1,1931,21,1,1931,5,7.48
51,26,12,1931,2,1,1932,8,19.35
52,10,2,1934,14,2,1934,5,6.29
53,20,2,1934,26,2,1934,7,6.23
54,12,10,1934,21,10,1934,10,18.9
55,28,10,1934,3,11,1934,7,5.87
56,3,2,1935,8,2,1935,6,11.35
57,19,2,1935,28,2,1935,10,6.62
58,18,10,1935,24,10,1935,7,16.91
59,22,12,1936,29,12,1936,8,15.17
60,24,1,1938,6,2,1938,14,27.5
61,5,4,1938,9,4,1938,5,3.46
62,12,10,1938,22,10,1938,11,22.62
63,8,2,1939,20,2,1939,13,21.52
64,8,2,1946,18,2,1946,11,10.75
65,20,9,1946,28,9,1946,9,6.56
66,23,3,1948,28,3,1948,6,7.28
67,18,9,1948,26,9,1948,9,19.64
68,23,10,1948,28,10,1948,6,9.16
69,19,1,1949,26,1,1949,8,13.23
70,6,12,1949,14,12,1949,9,12.93
71,20,12,1949,24,12,1949,5,1.15
72,18,2,1950,26,2,1950,9,7.61
73,22,9,1950,26,9,1950,5,6.76
74,28,9,1950,15,10,1950,18,2.73
75,3,12,1950,9,12,1950,7,5.12
76,25,11,1951,19,12,1951,25,51.7
77,10,1,1952,20,1,1952,11,14.23
78,29,11,1953,8,12,1953,10,15.58
79,18,1,1954,23,1,1954,6,5.63
80,20,9,1954,3,10,1954,14,12.76
81,23,12,1954,28,12,1954,6,13.77
82,26,10,1955,1,11,1955,7,8.59
83,4,12,1955,13,12,1955,10,14.87
84,1,1,1960,8,1,1960,8,10.66
85,30,11,1960,10,12,1960,11,24.4
86,26,3,1961,2,4,1961,8,12.69
87,2,12,1961,11,12,1961,10,16.42
88,4,10,1963,9,10,1963,6,5.06
89,12,10,1963,18,10,1963,7,8.3
90,18,11,1963,25,11,1963,8,13.67
91,3,2,1964,9,2,1964,7,11.03
92,15,11,1964,22,11,1964,8,19.72
93,24,11,1964,30,11,1964,7,10.22
94,30,10,1965,8,11,1965,10,29.5
95,18,10,1968,25,10,1968,8,3.74
96,1,2,1969,5,2,1969,5,13.23
97,29,10,1969,25,11,1969,28,29.2
98,27,10,1970,7,11,1970,12,14.97
99,9,10,1971,16,10,1971,8,6.32
100,22,10,1971,28,10,1971,7,7.34
101,3,11,1971,12,11,1971,10,12.99
102,13,12,1971,29,12,1971,17,11.78
103,13,11,1973,29,11,1973,17,27
104,6,12,1975,20,12,1975,15,15.84
105,22,12,1975,14,1,1976,24,25.6
106,30,11,1976,7,12,1976,8,13.3
107,12,11,1977,17,11,1977,6,6
108,30,11,1979,8,12,1979,9,8
109,18,11,1982,26,11,1982,9,12.7
110,13,1,1983,19,1,1983,7,12
111,18,1,1993,28,1,1993,9,34
112,15,9,1997,21,9,1997,7,11.2
113,12,1,2003,22,1,2003,11,20.3
114,NA,11,2011,NA,12,2011,2,10.6
115,NA,11,2013,NA,11,2013,1,8
116,NA,12,2013,NA,12,2013,1,7
117,NA,2,2014,NA,2,2014,1,4
118,NA,3,2014,NA,3,2014,1,9
119,NA,12,2014,NA,12,2014,1,39.8
120,NA,11,2015,NA,11,2015,1,15
121,NA,1,2016,NA,2,2016,2,16
